"","Colony","Mass"
"779",9,118
"780",9,95
"781",10,123
"782",10,119
"783",10,125
"784",10,87
"785",10,168
"786",10,111
"787",10,64
"788",10,74
"789",10,79
"790",10,91
"791",10,117
"792",10,145
"793",10,108
"794",10,112
"795",10,62
"796",10,140
"797",10,144
"798",10,172
"799",10,38
"800",10,147
"801",10,123
"802",10,73
"803",10,139
"804",10,77
"805",10,98
"806",10,69
"807",10,91
"808",10,119
"809",10,109
"810",10,103
"811",10,99
"812",10,108
"813",10,57
"814",10,97
"815",10,81
"816",10,106
"817",10,124
"818",10,86
"819",10,86
"820",10,66
"821",10,82
"822",10,105
"823",10,66
"824",10,97
"825",10,59
"826",10,108
"827",10,109
"828",10,115
"829",10,112
"830",10,69
"831",10,80
"832",10,103
"833",10,104
"834",10,119
"835",10,126
"836",10,74
"837",10,107
"838",10,120
"839",10,111
"840",10,54
"841",10,109
"842",10,127
"843",10,99
"844",10,90
"845",10,103
"846",10,165
"847",10,83
"848",10,121
"849",10,80
"850",10,83
"851",10,111
"852",10,110
"853",10,69
"854",10,125
"855",10,104
"856",10,117
"857",10,123
"858",10,114
"859",10,132
"860",10,112
"861",10,104
"862",10,100
"863",10,72
"864",10,88
"865",10,57
"866",10,82
"867",10,79
"868",10,83
"869",10,68
"870",10,111
"871",10,68
"872",10,105
"873",10,98
"874",10,99
"875",10,145
"876",10,97
"877",10,133
"878",10,93
"879",10,121
"880",11,70
"881",11,81
"882",11,127
"883",11,110
"884",11,61
"885",11,144
"886",11,150
"887",11,94
"888",11,136
"889",11,176
"890",11,39
"891",11,91
"892",11,152
"893",11,39
"894",11,93
"895",11,71
"896",11,90
"897",11,114
"898",11,40
"899",11,145
"900",11,40
"901",11,126
"902",11,106
"903",11,84
"904",11,72
"905",11,122
"906",11,119
"907",11,65
"908",11,69
"909",11,106
"910",11,89
"911",11,93
"912",11,96
"913",11,99
"914",11,95
"915",11,109
"916",11,82
"917",11,94
"918",11,106
"919",11,120
"920",11,29
"921",11,109
"922",11,95
"923",11,66
"924",11,43
"925",11,81
"926",11,48
"927",11,45
"928",11,102
"929",11,130
"930",11,104
"931",11,104
"932",11,99
"933",11,92
"934",11,79
"935",11,66
"936",11,123
"937",11,76
"938",11,52
"939",11,67
"940",11,110
"941",11,74
"942",11,59
"943",11,91
"944",11,54
"945",11,112
"946",11,127
"947",11,107
"948",11,115
"949",11,90
"950",11,56
"951",11,137
"952",11,106
"953",11,53
"954",11,89
"955",11,95
"956",11,78
"957",11,50
"958",11,52
"959",11,90
"960",11,136
"961",11,100
"962",11,116
"963",11,38
"964",11,113
"965",11,89
"966",11,48
"967",11,106
"968",11,108
"969",11,86
"970",11,110
"971",11,90
"972",11,94
"973",11,28
"974",11,116
"975",11,78
"976",11,116
"977",11,70
"978",11,99
"979",11,118
"980",11,103
"981",11,114
"982",11,98
"983",11,61
"984",11,77
"985",11,53
"986",11,132
"987",11,98
"988",1,163
"989",1,102
"990",1,144
"991",1,115
"992",1,108
"993",1,68
"994",1,107
"995",1,141
"996",1,111
"997",1,55
"998",1,112
"999",1,100
"1000",2,116
"1001",2,71
"1002",2,146
"1003",2,119
"1004",2,97
"1005",2,43
"1006",2,127
"1007",2,106
"1008",2,79
"1009",2,127
"1010",2,114
"1011",2,85
"1012",3,90
"1013",3,149
"1014",3,116
"1015",3,142
"1016",3,90
"1017",3,73
"1018",3,151
"1019",3,135
"1020",3,90
"1021",3,81
"1022",3,64
"1023",3,54
"1024",4,56
"1025",4,75
"1026",4,139
"1027",4,127
"1028",4,96
"1029",4,52
"1030",4,94
"1031",4,119
"1032",4,99
"1033",4,117
"1034",4,103
"1035",4,80
"1036",6,130
"1037",6,102
"1038",6,106
"1039",6,38
"1040",6,49
"1041",6,120
"1042",6,113
"1043",6,65
"1044",6,126
"1045",6,91
"1046",6,82
"1047",6,158
"1048",7,122
"1049",7,56
"1050",7,144
"1051",7,74
"1052",7,112
"1053",7,53
"1054",7,104
"1055",7,72
"1056",7,106
"1057",7,92
"1058",7,98
"1059",7,47
"1060",8,106
"1061",8,80
"1062",8,121
"1063",8,75
"1064",8,83
"1065",8,53
"1066",8,108
"1067",8,41
"1068",8,117
"1069",8,41
"1070",8,127
"1071",8,90
"1072",9,136
"1073",9,86
"1074",9,91
"1075",9,77
"1076",9,126
"1077",9,64
"1078",9,131
"1079",9,48
"1080",9,147
"1081",9,70
"1082",9,161
"1083",9,29
"1084",10,90
"1085",10,122
"1086",10,113
"1087",10,47
"1088",10,125
"1089",10,88
"1090",10,122
"1091",10,80
"1092",10,113
"1093",10,44
"1094",10,86
"1095",10,32
"1096",11,123
"1097",11,88
"1098",11,153
"1099",11,83
"1100",11,112
"1101",11,34
"1102",11,107
"1103",11,56
"1104",11,121
"1105",11,53
"1106",11,189
"1107",11,75
"1108",5,132
"1109",5,64
"1110",5,109
"1111",5,59
"1112",5,120
"1113",5,56
"1114",5,189
"1115",5,95
"1116",5,135
"1117",5,110
"1118",5,147
"1119",5,135
"1120",5,159
"1121",5,61
"1122",5,130
"1123",5,136
"1124",5,120
"1125",5,107
"1126",5,77
"1127",5,114
"1128",5,119
"1129",5,76
"1130",5,120
"1131",5,106
"1132",5,118
"1133",5,73
"1134",5,122
"1135",5,86
"1136",5,85
"1137",5,97
"1138",5,91
"1139",5,111
"1140",5,84
"1141",5,118
"1142",5,74
"1143",5,104
"1144",5,130
"1145",5,87
"1146",5,83
"1147",5,72
"1148",5,145
"1149",5,42
"1150",5,44
"1151",5,103
"1152",5,50
"1153",5,28
"1154",5,108
"1155",5,118
"1156",5,97
"1157",5,96
"1158",5,34
"1159",5,63
"1160",5,110
"1161",5,80
"1162",5,70
"1163",5,73
"1164",5,39
"1165",5,105
"1166",5,97
"1167",5,78
"1168",5,121
"1169",5,80
"1170",5,83
"1171",5,111
"1172",5,110
"1173",5,69
"1174",5,125
"1175",5,104
"1176",5,117
"1177",5,87
"1178",5,78
"1179",5,81
"1180",5,108
"1181",5,58
"1182",5,105
"1183",5,63
"1184",5,109
"1185",5,86
"1186",5,125
"1187",5,75
"1188",5,109
"1189",5,80
"1190",5,62
"1191",5,139
"1192",5,92
"1193",5,100
"1194",5,90
"1195",5,75
"1196",5,93
"1197",5,135
"1198",5,132
"1199",5,84
